Gene ID	Found in	Non-hypothetical Annotation	Which Annotation	Hypothetical Annotation	Which Annotation
NC_000913:2347384..2348514:CDS	nc_000913	"ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein"	nc_000913		
NC_000913:2348514..2348768:CDS	nc_000913	"ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (y*) cofactor maintenance"	nc_000913		
NC_000913:complement(2348822..2349472):CDS	nc_000913	"acid-inducible kdo/waap family putative kinase"	nc_000913		
NC_000913:2349651..2349893:CDS	nc_000913		nc_000913		
NC_000913:complement(2349935..2351011):CDS	nc_000913	"periplasmic glycerophosphodiester phosphodiesterase"	nc_000913		
NC_000913:complement(2351016..2352374):CDS	nc_000913	"sn-glycerol-3-phosphate transporter"	nc_000913		
NC_000913:2352647..2354275:CDS	nc_000913	"anaerobic sn-glycerol-3-phosphate dehydrogenase, large fad/nad(p)-binding subunit"	nc_000913		
NC_000913:2354265..2355524:CDS	nc_000913	"anaerobic sn-glycerol-3-phosphate dehydrogenase membrane anchor subunit"	nc_000913		
NC_000913:2355521..2356711:CDS	nc_000913	"anaerobic sn-glycerol-3-phosphate dehydrogenase, c subunit, 4fe-4s iron-sulfur cluster"	nc_000913		
NC_000913:2356904..2357803:CDS	nc_000913	"transposase_31 family protein"	nc_000913		
NC_000913:2357804..2358001:CDS	nc_000913		nc_000913		
NC_000913:complement(2358042..2358845):CDS	nc_000913	"2-keto-3-deoxy-l-rhamnonate aldolase"	nc_000913		
NC_000913:complement(2358863..2360152):CDS	nc_000913	"putative l-rhamnonate transporter"	nc_000913		
NC_000913:complement(2360209..2361414):CDS	nc_000913	"l-rhamnonate dehydratase"	nc_000913		
NC_000913:complement(2361429..2362211):CDS	nc_000913	"putative dna-binding transcriptional regulator for the rhm operon"	nc_000913		
NC_000913:complement(2362431..2363633):CDS	nc_000913	"inactive pncc family protein"	nc_000913		
NC_000913:complement(2363733..2364275):CDS	nc_000913	"outer membrane protein, putative porin"	nc_000913		
NC_000913:2364554..2364979:CDS	nc_000913	"nucleoside triphosphatase"	nc_000913		
NC_000913:complement(2365018..2365620):CDS	nc_000913	"putative lps core heptose(ii)-phosphate phosphatase"	nc_000913		
NC_000913:2365928..2367067:CDS	nc_000913	"uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, plp-dependent"	nc_000913		
NC_000913:2367071..2368039:CDS	nc_000913	"undecaprenyl phosphate-l-ara4fn transferase"	nc_000913		
NC_000913:2368039..2370021:CDS	nc_000913	"fused udp-l-ara4n formyltransferase/udp-glca c-4'-decarboxylase"	nc_000913		
NC_000913:2370018..2370908:CDS	nc_000913	"undecaprenyl phosphate-alpha-l-ara4fn deformylase"	nc_000913		
NC_000913:2370908..2372560:CDS	nc_000913	"4-amino-4-deoxy-l-arabinose transferase"	nc_000913		
NC_000913:2372557..2372892:CDS	nc_000913	"undecaprenyl phosphate-alpha-l-ara4n exporter; flippase arnef subunit"	nc_000913		
NC_000913:2372892..2373278:CDS	nc_000913	"undecaprenyl phosphate-alpha-l-ara4n exporter; flippase arnef subunit"	nc_000913		
NC_000913:complement(2373272..2373538):CDS	nc_000913	"inactive two-component system connector protein"	nc_000913		
NC_000913:complement(2373648..2375003):CDS	nc_000913	"o-succinylbenzoate-coa ligase"	nc_000913		
NC_000913:complement(2375000..2375962):CDS	nc_000913	"o-succinylbenzoyl-coa synthase"	nc_000913		
NC_000913:complement(2375962..2376819):CDS	nc_000913	"dihydroxynaphthoic acid synthetase"	nc_000913		
NC_000913:complement(2376834..2377592):CDS	nc_000913	"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase"	nc_000913		
NC_000913:complement(2377589..2379259):CDS	nc_000913	"2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase; sephchc synthase"	nc_000913		
NC_000913:complement(2379348..2380643):CDS	nc_000913	"isochorismate synthase 2"	nc_000913		
NC_000913:complement(2380722..2381027):CDS	nc_000913	"putative membrane-anchored duf883 family ribosome-binding protein"	nc_000913		
NC_000913:complement(2381082..2381543):CDS	nc_000913	"gnat family putative n-acetyltransferase"	nc_000913		
NC_000913:2381608..2382525:CDS	nc_000913	"rnase bn, trna processing enzyme"	nc_000913		
NC_000913:2382713..2383924:CDS	nc_000913	"protease, capable of cleaving an amc-ubiquitin model substrate"	nc_000913		
NC_000913:complement(2383995..2385722):CDS	nc_000913	"von willebrand factor domain putative lipoprotein"	nc_000913		
NC_000913:2385860..2386831:CDS	nc_000913	"putative m28a family peptidase"	nc_000913		
NC_000913:2386934..2387437:CDS	nc_000913	"duf1877 family protein"	nc_000913		
NC_000913:complement(2387710..2388426):CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:2388635..2389057:CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:2389116..2389964:CDS	nc_000913	"tpr-like repeats-containing protein"	nc_000913		
NC_000913:complement(2390048..2391505):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit n"	nc_000913		
NC_000913:complement(2391512..2393041):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit m"	nc_000913		
NC_000913:complement(2393205..2395046):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit l"	nc_000913		
NC_000913:complement(2395043..2395345):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit k"	nc_000913		
NC_000913:complement(2395342..2395896):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit j"	nc_000913		
NC_000913:complement(2395908..2396450):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, chain i"	nc_000913		
NC_000913:complement(2396465..2397442):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit h"	nc_000913		
NC_000913:complement(2397439..2400165):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, chain g"	nc_000913		
NC_000913:complement(2400218..2401555):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, chain f"	nc_000913		
NC_000913:complement(2401552..2402052):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, chain e"	nc_000913		
NC_000913:complement(2402055..2403845):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, fused cd subunit"	nc_000913		
NC_000913:complement(2403951..2404613):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, chain b"	nc_000913		
NC_000913:complement(2404629..2405072):CDS	nc_000913	"nadh:ubiquinone oxidoreductase, membrane subunit a"	nc_000913		
NC_000913:complement(2405703..2406641):CDS	nc_000913	"transcriptional repressor of flagellar, motility and chemotaxis genes"	nc_000913		
NC_000913:2407561..2408778:CDS	nc_000913	"glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (gpt); alanine transaminase"	nc_000913		
NC_000913:2408862..2409461:CDS	nc_000913	"5'-nucleotidase"	nc_000913		
NC_000913:complement(2409520..2411352):CDS	nc_000913	"putative transporter"	nc_000913		
NC_000913:complement(2411439..2412089):CDS	nc_000913	"sugar phosphatas"	nc_000913		
NC_000913:complement(2412100..2412594):CDS	nc_000913	"upf0304 family protein"	nc_000913		
NC_000913:complement(2412677..2413132):CDS	nc_000913	"upf0208 family inner membrane protein"	nc_000913		
NC_000913:2413470..2414672:CDS	nc_000913	"acetate kinase a and propionate kinase 2"	nc_000913		
NC_000913:2414747..2416891:CDS	nc_000913	"phosphate acetyltransferase"	nc_000913		
NC_000913:2417081..2418601:CDS	nc_000913	"putative inner membrane transporter; c4-dicarboxylate anaerobic carrier family protein"	nc_000913		
NC_000913:complement(2418634..2419176):CDS	nc_000913	"putative nudix hydrolase"	nc_000913		
NC_000913:complement(2419234..2419788):CDS	nc_000913	"phosphodiesterase activity on bis-pnpp"	nc_000913		
NC_000913:complement(2419841..2420485):CDS	nc_000913	"glutathione s-transferase"	nc_000913		
NC_000913:2420621..2421268:CDS	nc_000913	"gsh-dependent disulfide bond oxidoreductase"	nc_000913		
NC_000913:2421325..2421687:CDS	nc_000913	"d-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase"	nc_000913		
NC_000913:2421708..2422601:CDS	nc_000913	"putative nad-dependent nucleotide-sugar epimerase"	nc_000913		
NC_000913:complement(2422649..2423539):CDS	nc_000913	"transposase_31 family protein"	nc_000913		
NC_000913:complement(2423736..2424509):CDS	nc_000913	"histidine abc transporter atpase"	nc_000913		
NC_000913:complement(2424517..2425233):CDS	nc_000913	"histidine abc transporter permease"	nc_000913		
NC_000913:complement(2425230..2425916):CDS	nc_000913	"histidine abc transporter permease"	nc_000913		
NC_000913:complement(2426006..2426788):CDS	nc_000913	"histidine abc transporter periplasmic binding protein"	nc_000913		
NC_000913:complement(2427009..2427791):CDS	nc_000913	"lysine/arginine/ornithine transporter subunit"	nc_000913		
NC_000913:complement(2428057..2428626):CDS	nc_000913	"3-octaprenyl-4-hydroxybenzoate carboxy-lyase"	nc_000913		
NC_000913:complement(2428721..2430238):CDS	nc_000913	"amidophosphoribosyltransferase"	nc_000913		
NC_000913:complement(2430275..2430763):CDS	nc_000913	"colicin v production protein"	nc_000913		
NC_000913:complement(2431022..2431684):CDS	nc_000913	"membrane-anchored periplasmic protein involved in septation"	nc_000913		
NC_000913:complement(2431674..2432942):CDS	nc_000913	"bifunctional folylpolyglutamate synthase/ dihydrofolate synthase"	nc_000913		
NC_000913:complement(2433012..2433926):CDS	nc_000913	"acetyl-coa carboxylase, beta (carboxyltransferase) subunit"	nc_000913		
NC_000913:complement(2434082..2434741):CDS	nc_000913	"deda family inner membrane protein"	nc_000913		
NC_000913:complement(2434824..2435636):CDS	nc_000913	"trna pseudouridine(38-40) synthase"	nc_000913		
NC_000913:complement(2435636..2436649):CDS	nc_000913	"putative semialdehyde dehydrogenase"	nc_000913		
NC_000913:complement(2436715..2437851):CDS	nc_000913	"erythronate-4-phosphate dehydrogenase"	nc_000913		
NC_000913:2437950..2438945:CDS	nc_000913	"putative flagella assembly protein"	nc_000913		
NC_000913:complement(2438942..2440120):CDS	nc_000913	"putative arabinose efflux transporter"	nc_000913		
NC_000913:complement(2440385..2441605):CDS	nc_000913	"3-oxoacyl-[acyl-carrier-protein] synthase i"	nc_000913		
NC_000913:2441764..2443770:CDS	nc_000913	"fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase and fad-dependent demodification enzyme"	nc_000913		
NC_000913:complement(2443891..2444169):CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:complement(2444203..2444751):CDS	nc_000913	"elongation factor p lys34 hydroxylase"	nc_000913		
NC_000913:complement(2444751..2445560):CDS	nc_000913	"taue/tsup family inner membrane protein"	nc_000913		
NC_000913:complement(2445560..2446384):CDS	nc_000913	"murein dd-endopeptidase"	nc_000913		
NC_000913:complement(2446388..2447473):CDS	nc_000913	"chorismate synthase"	nc_000913		
NC_000913:complement(2447508..2448440):CDS	nc_000913	"n5-glutamine methyltransferase"	nc_000913		
NC_000913:2448606..2449157:CDS	nc_000913	"putative dna endonuclease"	nc_000913		
NC_000913:complement(2449228..2450049):CDS	nc_000913	"duf2544 family putative outer membrane protein"	nc_000913		
NC_000913:complement(2450051..2450590):CDS	nc_000913	"putative fimbrial-like adhesin protein"	nc_000913		
NC_000913:complement(2450587..2451075):CDS	nc_000913	"putative fimbrial-like adhesin protein"	nc_000913		
NC_000913:complement(2451072..2451584):CDS	nc_000913	"putative fimbrial-like adhesin protein"	nc_000913		
NC_000913:complement(2451584..2452336):CDS	nc_000913	"putative periplasmic pilin chaperone"	nc_000913		
NC_000913:complement(2452356..2455001):CDS	nc_000913		nc_000913		
NC_000913:complement(2455083..2455646):CDS	nc_000913	"putative fimbrial-like adhesin protein"	nc_000913		
NC_000913:complement(2456327..2456812):CDS	nc_000913	"phosphohistidine phosphatase"	nc_000913		
NC_000913:complement(2457015..2459159):CDS	nc_000913	"enoyl-coa hydratase/epimerase and isomerase/3-hydroxyacyl-coa dehydrogenase"	nc_000913		
NC_000913:complement(2459159..2460469):CDS	nc_000913	"beta-ketoacyl-coa thiolase, anaerobic, subunit"	nc_000913		
NC_000913:complement(2460650..2460934):CDS	nc_000913	"upf0381 family protein"	nc_000913		
NC_000913:2461306..2462646:CDS	nc_000913	"long-chain fatty acid outer membrane transporter"	nc_000913		
NC_000913:2463012..2464070:CDS	nc_000913	"uncharacterized protein"	nc_000913		
NC_000913:complement(2464252..2465007):CDS	nc_000913	"abc transporter maintaining om lipid asymmetry, om lipoprotein component"	nc_000913		
NC_000913:2465301..2466233:CDS	nc_000913	"putative inner membrane protein"	nc_000913		
NC_000913:2466545..2467702:CDS	nc_000913	"cps-53 (kple1) prophage; putative prophage cps-53 integrase"	nc_000913		
NC_000913:2467855..2468217:CDS	nc_000913	"cps-53 (kple1) prophage; bactoprenol-linked glucose translocase/flippase"	nc_000913		
